step,train_loss,eval_loss
100,2.5967,
100,,2.4699714183807373
200,2.4558,
200,,2.4316060543060303
300,2.4313,
300,,2.404834032058716
400,2.4175,
400,,2.3933115005493164
500,2.3949,
500,,2.3490355014801025
600,2.3871,
600,,2.368805408477783
700,2.3748,
700,,2.3762047290802
800,2.3659,
800,,2.350922107696533
900,2.3549,
900,,2.3281545639038086
1000,2.3455,
1000,,2.3258113861083984
1100,2.3414,
1100,,2.3181631565093994
1200,2.3401,
1200,,2.324669122695923
1300,2.3376,
1300,,2.329911470413208
1400,2.3276,
1400,,2.3082563877105713
1500,2.326,
1500,,2.296414375305176
1600,2.3149,
1600,,2.3290183544158936
1700,2.3157,
1700,,2.3083090782165527
1800,2.3194,
1800,,2.30006742477417
1900,2.309,
1900,,2.2940900325775146
2000,2.3062,
2000,,2.3045473098754883
2100,2.3113,
2100,,2.272519111633301
2200,2.3013,
2200,,2.3095922470092773
2300,2.3002,
2300,,2.305814743041992
2400,2.2929,
2400,,2.257981061935425
2500,2.2941,
2500,,2.2818408012390137
2600,2.2979,
2600,,2.2790582180023193
2700,2.2816,
2700,,2.2836813926696777
2800,2.2913,
2800,,2.2688193321228027
2900,2.2788,
2900,,2.2536988258361816
3000,2.274,
3000,,2.29445743560791
3100,2.2789,
3100,,2.260892629623413
3200,2.2742,
3200,,2.289029598236084
3300,2.2708,
3300,,2.2489612102508545
3400,2.2679,
3400,,2.258885622024536
3500,2.2735,
3500,,2.2629518508911133
3600,2.2658,
3600,,2.2835941314697266
3700,2.2645,
3700,,2.29148268699646
3800,2.2639,
3800,,2.2517690658569336
3900,2.2625,
3900,,2.2747271060943604
4000,2.2603,
4000,,2.2444028854370117
4100,2.2614,
4100,,2.2696382999420166
4200,2.2523,
4200,,2.269176483154297
4300,2.2568,
4300,,2.2465550899505615
4400,2.2501,
4400,,2.2914509773254395
4500,2.2452,
4500,,2.2668769359588623
4600,2.2491,
4600,,2.2907590866088867
4700,2.2427,
4700,,2.2767069339752197
4800,2.2433,
4800,,2.256413459777832
4900,2.2455,
4900,,2.271866798400879
5000,2.2375,
5000,,2.265394449234009
5100,2.2343,
5100,,2.2915587425231934
5200,2.2401,
5200,,2.2369110584259033
5300,2.2303,
5300,,2.292370080947876
5400,2.2302,
5400,,2.2736129760742188
5500,2.2338,
5500,,2.2478363513946533
5600,2.2325,
5600,,2.259455919265747
5700,2.2241,
5700,,2.2376461029052734
5800,2.2263,
5800,,2.278748035430908
5900,2.2227,
5900,,2.24702787399292
6000,2.218,
6000,,2.2505359649658203
6100,2.2134,
6100,,2.2559475898742676
6200,2.2173,
6200,,2.2447423934936523
6300,2.2148,
6300,,2.2781662940979004
6400,2.2129,
6400,,2.2501461505889893
6500,2.21,
6500,,2.2375643253326416
6600,2.2104,
6600,,2.2441956996917725
6700,2.2055,
6700,,2.2614693641662598
6800,2.2036,
6800,,2.2359790802001953
6900,2.2047,
6900,,2.272735834121704
7000,2.207,
7000,,2.225977659225464
7100,2.1994,
7100,,2.2619407176971436
7200,2.2044,
7200,,2.2544877529144287
7300,2.1964,
7300,,2.2299914360046387
7400,2.1947,
7400,,2.271052598953247
7500,2.195,
7500,,2.25116229057312
7600,2.1923,
7600,,2.2449755668640137
7700,2.1902,
7700,,2.2347772121429443
7800,2.1843,
7800,,2.252964496612549
7900,2.1819,
7900,,2.232736587524414
8000,2.1801,
8000,,2.24311900138855
8100,2.181,
8100,,2.265108346939087
8200,2.1833,
8200,,2.2133514881134033
8300,2.1724,
8300,,2.2374870777130127
8400,2.1745,
8400,,2.255021333694458
8500,2.1726,
8500,,2.235297918319702
8600,2.1736,
8600,,2.253539800643921
8700,2.1637,
8700,,2.241861581802368
8800,2.1703,
8800,,2.2687792778015137
8900,2.1691,
8900,,2.2570207118988037
9000,2.1624,
9000,,2.2318243980407715
9100,2.1623,
9100,,2.2485527992248535
9200,2.1592,
9200,,2.255180835723877
9300,2.1564,
9300,,2.203728437423706
9400,2.1599,
9400,,2.23460054397583
9500,2.1549,
9500,,2.208574056625366
9600,2.1513,
9600,,2.229780912399292
9700,2.152,
9700,,2.2550554275512695
9800,2.1476,
9800,,2.244929075241089
9900,2.1462,
9900,,2.271724224090576
10000,2.1447,
10000,,2.236933708190918
10100,2.143,
10100,,2.218229293823242
10200,2.1375,
10200,,2.2728095054626465
10300,2.1392,
10300,,2.2508130073547363
10400,2.1364,
10400,,2.237929582595825
10500,2.1353,
10500,,2.2452821731567383
10600,2.126,
10600,,2.2330877780914307
10700,2.1298,
10700,,2.2060909271240234
10800,2.1345,
10800,,2.2596216201782227
10900,2.1194,
10900,,2.2575340270996094
11000,2.1267,
11000,,2.2432408332824707
11100,2.1179,
11100,,2.2311131954193115
11200,2.1211,
11200,,2.2315733432769775
11300,2.1203,
11300,,2.222291946411133
11300,,
